#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-11-26T00:11:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bfb3a191f9bc	
#INFO	-out.max=9999	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/ApJ/801/3&tab:{J/ApJ/801/3/table1}&key:source=J/ApJ/801/3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/801/3/table1
#-order=I
#-out=KOI
#-out=KIC
#-out=Teff
#-out=log(g)
#-out=Prot
#-out=e_Prot
#-out=Rvar
#-out=LPH
#-out=w
#-out=D
#-out=N
#-out=C
#-out=G
#-out=T
#-out=F
#-out=R
#-out=M1
#-out=M2
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#
#
#RESOURCE=yCat_18010003
#Name: J/ApJ/801/3
#Title: Rotation periods for Q3-Q14 KOIs (Mazeh+, 2015)
#Table	J_ApJ_801_3_table1:
#Name: J/ApJ/801/3/table1
#Title: Stellar rotational periods for the KOIs
#Column	KOI	(I4)	[1/6249] Kepler Object of Interest identifier	[ucd=meta.id;meta.main]
#Column	KIC	(I8)	Kepler Input Catalog identifier (V/133)	[ucd=meta.id]
#Column	Teff	(I5)	[3089/10949]? KIC effective temperature (1) [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	log(g)	(F6.3)	[0.03/6.1]? KIC log surface gravity (1)	[ucd=phys.gravity]
#Column	Prot	(F6.2)	[0.08/154]? Rotational period	[ucd=time.period]
#Column	e_Prot	(F5.2)	[0/73]? The 1{sigma} uncertainty in Prot	[ucd=stat.error]
#Column	Rvar	(I5)	[-9999/96819]? Amplitude of modulation (-9999 if no reliable amplitude) [NULL integer written as an empty string]	[ucd=src.var.amplitude]
#Column	LPH	(F9.6)	[0.01/1.8]? The Local Peak Height value of the autocorrelation function (ACF)	[ucd=stat.fit.param]
#Column	w	(F9.6)	[0/1]? Assigned weight (the w value); see text	[ucd=stat.weight]
#Column	D	(I1)	[0/1] "1" if Dressing & Charbonneau 2013 (J/ApJ/767/95) parameters used (1)	[ucd=meta.code]
#Column	N	(I1)	[0/1] "1" if KIC values missing, so NASA Exoplanet Archive (NEA) parameters used (1)	[ucd=meta.code]
#Column	C	(I1)	[0/1] "1" if Centroid motion shows transit and rotational modulation on different stars	[ucd=meta.code]
#Column	G	(I1)	[0/1] "1" if star is likely a giant	[ucd=meta.code]
#Column	T	(I1)	[0/1] "1" if T_eff_ outside 3500-6500K	[ucd=meta.code]
#Column	F	(I1)	[0/1] "1" if false positive (EB) identified in this work	[ucd=meta.code]
#Column	R	(I1)	[0/1] "1" if rejected by visual examination stage	[ucd=meta.code]
#Column	M1	(I1)	[0/1] "1" if inconsistent detection in different quarters	[ucd=meta.code]
#Column	M2	(I1)	[0/1] "1" if inconsistent detection with not high enough peaks	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Position from KIC catalog (V/133) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from KIC catalog (V/133) (declination part)	[ucd=pos.eq.dec;meta.main]
KOI|KIC|Teff|log(g)|Prot|e_Prot|Rvar|LPH|w|D|N|C|G|T|F|R|M1|M2|Simbad|_RA|_DE
  89| 8056665| 7490| 3.901|      |     |     |         |         |0|0|0|0|1|0|0|0|0|Simbad|299.82117|+43.81427
  92| 7941200| 5850| 4.280| 16.18| 1.56|  990| 0.315801| 0.252263|0|0|0|0|0|0|0|0|0|Simbad|283.37482|+43.78822
  97| 5780885| 5944| 4.267|103.25| 6.61|  934| 0.272777| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|288.58151|+41.08981
  98|10264660| 6395| 4.110|  2.61| 0.51|  434| 0.349807| 0.265961|0|0|0|0|0|0|0|0|0|Simbad|287.70883|+47.33305
  99| 8505215| 4951| 4.332| 44.27| 9.58|  968| 0.433426| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.43433|+44.53112
 100| 4055765| 6440| 3.688|  1.12| 0.01|  876| 0.454565| 0.330680|0|0|0|0|0|0|0|0|0|Simbad|291.17792|+39.19949
 102| 8456679| 5919| 3.896| 43.70| 8.35|  767| 0.394841| 0.159453|0|0|0|0|0|0|0|0|1|Simbad|299.70474|+44.43575
 103| 2444412| 5531| 4.400| 23.28| 0.40| 2619| 0.484030| 0.349231|0|0|0|0|0|0|0|0|0|Simbad|291.68335|+37.75159
 104|10318874| 4786| 4.700| 44.31| 1.97| 2128| 0.385247| 0.185952|0|0|0|0|0|0|0|0|1|Simbad|281.19473|+47.49713
 105| 8711794| 5450| 3.962| 43.09| 6.16|  478| 0.100083| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|298.93704|+44.85791
 107|11250587| 5816| 4.459| 17.58| 0.80|  670| 0.485209| 0.359023|0|0|0|0|0|0|0|0|0|Simbad|294.83517|+48.98236
 108| 4914423| 5975| 4.300| 20.92| 2.20|  356| 0.222530| 0.115834|0|0|0|0|0|0|0|0|1|Simbad|288.98456|+40.06453
 110| 9450647| 6344| 4.354| 11.04| 2.67|  346| 0.033256| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|284.55573|+46.06383
 112|10984090| 5839| 4.306| 32.08| 2.86|  480| 0.150078| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.64871|+48.49556
 115| 9579641| 6202| 4.247| 16.78| 0.24|  576| 0.319094| 0.180437|0|0|0|0|0|0|0|0|1|Simbad|287.88733|+46.27624
 116| 8395660| 5865| 4.400| 20.33| 1.69|  667| 0.195954| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|300.86398|+44.33755
 117|10875245| 5725| 4.466| 21.56| 0.93|  493| 0.331524| 0.242433|0|0|0|0|0|0|0|0|1|Simbad|297.02826|+48.20861
 118| 3531558| 5605| 4.487| 49.68| 1.74|  449| 0.332708| 0.108442|0|0|0|0|0|0|0|0|1|Simbad|287.36279|+38.64960
 119| 9471974| 5380| 4.443| 79.20|11.66|  515| 0.404647| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.55917|+46.06233
 122| 8349582| 5714| 4.380| 15.73| 3.36|  760| 0.150727| 0.074143|0|0|0|0|0|0|0|0|1|Simbad|284.48245|+44.39804
 123| 5094751| 5994| 4.300| 43.72| 3.05|  673| 0.185401| 0.005119|0|0|0|0|0|0|0|0|1|Simbad|290.39273|+40.28487
 124|11086270| 6076| 4.250| 54.78| 3.07|  365| 0.172602| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|292.92914|+48.60281
 127| 8359498| 5570| 4.527| 33.24|10.60| 2531| 0.146142| 0.058144|0|0|0|0|0|0|0|0|1|Simbad|289.60797|+44.34542
 128|11359879| 5718| 4.181| 35.55| 2.85| 1202| 0.067062| 0.034977|0|0|0|0|0|0|0|0|1|Simbad|296.20059|+49.14012
 137| 8644288| 5398| 4.400| 44.74| 6.41|  800| 0.117470| 0.026407|0|0|0|0|0|0|0|0|1|Simbad|298.07944|+44.74632
 139| 8559644| 5921| 4.558| 16.91| 0.27| 1170| 0.445690| 0.319397|0|0|0|0|0|0|0|0|0|Simbad|291.65317|+44.68827
 141|12105051| 5277| 4.604| 18.39| 1.03| 1640| 0.217190| 0.090738|0|0|0|0|0|0|0|0|1|Simbad|288.03830|+50.65161
 142| 5446285| 5361| 4.679| 32.77| 5.74| 1353| 0.635645| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.14807|+40.66940
 144| 4180280| 4724| 3.996| 44.85| 3.82| 1563| 0.201749| 0.055109|0|0|0|0|0|0|0|0|1|Simbad|296.52429|+39.24976
 148| 5735762| 5190| 4.400| 36.57| 4.64| 1725| 0.255143| 0.120843|0|0|0|0|0|0|0|0|1|Simbad|299.13922|+40.94902
 149| 3835670| 6059| 4.233| 56.09| 5.26|  716| 0.108339| 0.000981|0|0|0|0|0|0|0|0|1|Simbad|286.63010|+38.94560
 150| 7626506| 5538| 4.292| 25.74| 2.24|  747| 0.067024| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|296.98102|+43.20975
 151| 2307199| 6028| 4.404| 52.09|18.69| 1196| 0.331361| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|292.37476|+37.63096
 152| 8394721| 6187| 4.536| 64.01| 3.02| 1136| 0.196670| 0.000179|0|0|0|0|0|0|0|0|1|Simbad|300.51712|+44.38158
 153|12252424| 4725| 4.500| 45.46| 6.00|  959| 0.246831| 0.084374|0|0|0|0|0|0|0|0|1|Simbad|287.99789|+50.94433
 155| 8030148| 5651| 4.184|112.96| 7.60|  625| 0.145347| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|292.32150|+43.88117
 156|10925104| 4450| 4.540| 34.92| 1.47| 4291| 0.537733| 0.368060|0|0|0|0|0|0|0|0|0|Simbad|294.12143|+48.34952
 157| 6541920| 5685| 4.300| 25.25| 2.73|  645| 0.074756| 0.104341|0|0|0|0|0|0|0|0|1|Simbad|297.11511|+41.90914
 159| 8972058| 5823| 4.305| 80.20| 6.16|  865| 0.361054| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|297.71185|+45.26192
 161| 5084942| 4768| 4.036| 42.39| 1.72| 2529| 0.258605| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|287.05173|+40.21155
 162| 8107380| 5632| 4.454| 16.71| 0.74|  708| 0.083567| 0.063329|0|0|0|0|0|0|0|0|1|Simbad|295.16382|+43.96304
 165| 9527915| 4956| 4.757| 32.38| 0.74| 1387| 0.292267| 0.213539|0|0|0|0|0|0|0|0|1|Simbad|292.48694|+46.19621
 166| 2441495| 5216| 4.241| 71.94|10.21| 1238| 0.299376| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.02185|+37.76979
 167|11666881| 6285| 4.602| 26.48| 1.03|  563| 0.026872| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.46390|+49.76504
 168|11512246| 5877| 3.974| 50.13| 2.67|  630| 0.239791| 0.027790|0|0|0|0|0|0|0|0|1|Simbad|294.21893|+49.47922
 171| 7831264| 6287| 4.406|  8.42| 0.46|  609| 0.138550| 0.117864|0|0|0|0|0|0|0|0|1|Simbad|294.74207|+43.53683
 172| 8692861| 5603| 4.798| 81.91|19.33|  705| 0.252103| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|293.26093|+44.86889
 173|11402995| 5752| 4.515| 55.39|13.93|  664| 0.240219| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.90704|+49.26205
 174|10810838| 4768| 4.600| 78.08| 3.83| 1448| 0.366528| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|296.82291|+48.10755
 176| 6442377| 6340| 4.488| 58.37| 3.34|  509| 0.104665| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.64676|+41.88466
 177| 6803202| 5620| 4.385| 26.77|14.54|  608| 0.134319| 0.100002|0|0|0|0|0|0|0|0|1|Simbad|298.17722|+42.23704
 179| 9663113| 5827| 4.416| 12.78| 0.56|  677| 0.029001| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|297.04541|+46.32870
 180| 9573539| 5680| 4.660| 15.59| 0.05|10983| 0.963601| 0.587466|0|0|0|0|0|0|0|0|0|Simbad|284.39429|+46.24908
 183| 9651668| 5722| 4.708| 22.02| 0.15| 2781| 0.357029| 0.253851|0|0|0|0|0|0|0|0|0|Simbad|292.85574|+46.39118
 186|12019440| 5826| 4.564| 21.43| 2.31| 2121| 0.270114| 0.179641|0|0|0|0|0|0|0|0|1|Simbad|294.99631|+50.47006
 188| 5357901| 5087| 4.730| 37.63| 6.18| 1931| 0.350055| 0.184969|0|0|0|0|0|0|0|0|1|Simbad|290.35803|+40.56774
 189|11391018| 4787| 4.500| 78.17|12.63| 2347| 0.209095| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|284.87997|+49.26699
 190| 5771719| 5425| 4.225| 16.68| 0.08|10615| 0.986561| 0.617602|0|0|0|0|0|0|0|0|0|Simbad|284.64886|+41.01502
 191| 5972334| 5495| 4.519| 55.10| 5.74| 1722| 0.224785| 0.010389|0|0|0|0|0|0|0|0|1|Simbad|295.28723|+41.22196
 192| 7950644| 5936| 4.463| 53.74| 8.25|  796| 0.105290| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|288.25458|+43.70487
 193|10799735| 5883| 4.465| 23.23| 2.32| 1643| 0.226506| 0.118854|0|0|0|0|0|0|0|0|1|Simbad|292.87616|+48.19531
 195|11502867| 5604| 4.498|142.09|10.50| 1603| 0.380679| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|289.43463|+49.47340
 196| 9410930| 5585| 4.512| 20.90| 0.31| 1799| 0.353817| 0.267661|0|0|0|0|0|0|0|0|0|Simbad|294.51324|+45.98164
 197| 2987027| 4907| 4.382| 34.47| 5.06| 2922| 0.309992| 0.217478|0|0|0|0|0|0|0|0|1|Simbad|290.83313|+38.18435
 199|10019708| 6214| 4.600| 57.31|19.55| 1785| 0.271385| 0.039757|0|0|0|0|0|0|0|0|1|Simbad|295.02567|+46.95600
 200| 6046540| 5774| 4.690| 15.44| 1.03| 1101| 0.140907| 0.082200|0|0|0|0|0|0|0|0|1|Simbad|293.09253|+41.35552
 202| 7877496| 5912| 4.442| 17.32| 1.78| 2372| 0.302710| 0.227408|0|0|0|0|0|0|0|0|1|Simbad|286.11032|+43.68096
 203|10619192| 5634| 4.486| 12.05| 0.04|26005| 1.244916| 0.683632|0|0|0|0|0|0|0|0|0|Simbad|298.39526|+47.81501
 204| 9305831| 5287| 4.476| 44.68| 1.73| 1720| 0.207764| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|300.10236|+45.76214
 205| 7046804| 5060| 4.566| 25.80| 4.67| 1902| 0.246703| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.49667|+42.53789
 208| 3762468| 6094| 4.585|  3.06| 0.00|12742| 1.375967| 0.733551|0|0|0|0|0|0|0|0|0|Simbad|295.30753|+38.88164
 209|10723750| 6221| 4.478| 10.72| 0.20|  978| 0.216131| 0.161158|0|0|0|0|0|0|0|0|1|Simbad|288.79303|+48.04023
 212| 6300348| 5843| 4.538| 16.30| 0.51| 3781| 0.516639| 0.385644|0|0|0|0|0|0|0|0|0|Simbad|296.13980|+41.60318
 214|11046458| 5322| 4.442| 31.40| 1.21| 1750| 0.378096| 0.237377|0|0|0|0|0|0|0|0|1|Simbad|298.62488|+48.57745
 216| 6152974| 5086| 4.309| 27.66| 0.02| 5298| 0.743729| 0.466846|0|0|0|0|0|0|0|0|0|Simbad|299.21317|+41.42483
 217| 9595827| 5504| 4.724| 19.71| 0.06|10257| 0.901040| 0.551097|0|0|0|0|0|0|0|0|0|Simbad|294.86551|+46.28585
 219| 6305192| 5347| 4.727|  9.01| 0.24| 2215| 0.710437| 0.413772|0|0|0|0|0|0|0|0|0|Simbad|297.21408|+41.66404
 220| 7132798| 5388| 4.867| 32.85| 2.64|  786| 0.353082| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.94641|+42.65892
 221| 3937519| 5176| 4.686| 19.20| 2.98| 1132| 0.066818| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|285.93069|+39.09814
 222| 4249725| 4353| 4.714| 27.03| 4.57| 2626| 0.169908| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|287.89163|+39.33913
 223| 4545187| 5128| 4.657| 34.28| 4.81| 1620| 0.275698| 0.165431|0|0|0|0|0|0|0|0|1|Simbad|286.16205|+39.67800
 226| 5959753| 5043| 4.892| 52.38|15.25| 2680| 0.272197| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.64090|+41.24104
 227| 6185476| 4633| 5.260| 16.80| 0.03| 5720| 1.149097| 0.649574|0|0|0|0|0|0|0|0|0|Simbad|284.35202|+41.51920
 232| 4833421| 5868| 4.683| 61.76| 2.55|  784| 0.546446| 0.235124|0|0|0|0|0|0|0|0|1|Simbad|291.11188|+39.94911
 234| 8491277| 5735| 4.356| 53.12| 5.77| 1401| 0.301423| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|290.35815|+44.51875
 235| 8107225| 5041| 4.654| 17.98| 2.47| 1175| 0.088703| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.10995|+43.91521
 237| 8041216| 5679| 4.533| 23.25| 0.15| 1414| 0.306534| 0.217531|0|0|0|0|0|0|0|0|1|Simbad|295.95135|+43.85205
 238| 7219825| 6032| 4.437| 20.24|13.67|  656| 0.036279| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|296.99863|+42.78196
 239| 6383785| 5983| 4.539| 57.31|13.75| 1667| 0.464120| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|297.20154|+41.73021
 240| 8026752| 5996| 4.602| 75.45|19.69| 1469| 0.149019| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.08014|+43.86020
 241|11288051| 5055| 4.854| 49.42| 4.14|  910| 0.105248| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|286.75278|+49.06491
 242| 3642741| 5437| 4.507| 12.71| 0.17| 7174| 0.946105| 0.565855|0|0|0|0|0|0|0|0|0|Simbad|290.63651|+38.70767
 244| 4349452| 6500| 4.500|      |     |     |         |         |0|0|0|0|1|0|0|0|0|Simbad|286.63840|+39.48788
 247|11852982| 3723| 4.823| 16.23| 0.02| 9512| 1.120694| 0.612208|1|0|0|0|0|0|0|0|0|Simbad|284.99860|+50.14679
 248| 5364071| 3937| 4.727| 18.34| 0.05| 6708| 0.920557| 0.530634|1|0|0|0|0|0|0|0|0|Simbad|292.29459|+40.59179
 249| 9390653| 3508| 4.893| 46.05| 0.73| 4705| 1.122124| 0.559999|1|0|0|0|0|0|0|0|0|Simbad|284.92184|+45.97240
 250| 9757613| 3850| 4.801| 17.88| 0.05| 6549| 1.065372| 0.598870|1|0|0|0|0|0|0|0|0|Simbad|284.94098|+46.56654
 251|10489206| 3743| 4.770| 14.51| 0.01|16438| 1.609074| 0.741767|1|0|0|0|0|0|0|0|0|Simbad|298.25812|+47.60494
 252|11187837| 3768| 4.787| 40.07| 0.22| 8682| 1.098618| 0.555265|1|0|0|0|0|0|0|0|0|Simbad|290.40149|+48.82259
 253|11752906| 3916| 4.702| 74.83| 8.04|10164| 0.547340| 0.000000|1|0|0|0|0|0|0|1|0|Simbad|285.57434|+49.96227
 255| 7021681| 3905| 4.698| 42.76| 9.39| 3978| 0.352775| 0.000000|1|0|0|0|0|0|0|1|0|Simbad|287.85812|+42.54263
 257| 5514383| 6023| 4.098|  7.86| 0.04| 1440| 0.459318| 0.324549|0|0|0|0|0|0|0|0|0|Simbad|284.63519|+40.71983
 260| 8292840| 6500| 4.500|      |     |     |         |         |0|0|0|0|1|0|0|0|0|Simbad|289.34732|+44.20851
 261| 5383248| 5692| 4.400| 14.86| 0.23| 3241| 0.892391| 0.575630|0|0|0|0|0|0|0|0|0|Simbad|297.06961|+40.52513
 262|11807274| 6143| 4.238|  7.60| 0.85|  457| 0.309533| 0.241852|0|0|0|0|0|0|0|0|1|Simbad|288.10086|+50.03372
 263|10514430| 5820| 4.100| 39.29|12.07|  595| 0.301360| 0.103807|0|0|0|0|0|0|0|0|1|Simbad|281.27380|+47.77440
 265|12024120| 6032| 4.379| 24.49| 0.41|  415| 0.178254| 0.046011|0|0|0|0|0|0|0|0|1|Simbad|297.01883|+50.40898
 268| 3425851| 6500| 4.500|      |     |     |         |         |0|0|0|0|1|0|0|0|0|Simbad|285.72879|+38.50697
 269| 7670943| 6258| 4.118|  5.21| 0.09|  184| 0.244121| 0.186077|0|0|0|0|0|0|0|0|1|Simbad|287.34573|+43.37839
 270| 6528464| 5750| 4.500| 36.04| 4.74|  304| 0.126813| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|293.73282|+41.90083
 271| 9451706| 6089| 4.473| 10.10| 0.22|  574| 0.382249| 0.311443|0|0|0|0|0|0|0|0|0|Simbad|285.19000|+46.02796
 273| 3102384| 5503| 4.762| 37.33|15.03|  291| 0.206847| 0.055994|0|0|0|0|0|0|0|0|1|Simbad|287.47852|+38.22884
 274| 8077137| 6090| 4.100| 13.07| 0.24|  304| 0.357935| 0.263273|0|0|0|0|0|0|0|0|0|Simbad|282.49222|+43.98021
 275|10586004| 5750| 4.000| 29.78| 0.56|  489| 0.406160| 0.220230|0|0|0|0|0|0|0|0|1|Simbad|285.31125|+47.84856
