#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-03-17T07:16:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6232e02624ff1c	
#INFO	-out.max=999999	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=999999
#-out.all=2
#-nav=cat:J/ApJ/743/48&tab:{J/ApJ/743/48/catalog}&key:source=J/ApJ/743/48/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/743/48/catalog
#-order=I
#-out=Name
#-out=HD
#-out=HIP
#-out=GJ
#-out=GCVS
#-out=2MASS
#-out=RAJ2000
#-out=DEJ2000
#-out=Cluster
#-out=Dist
#-out.all=2
#-out=Vmag
#-out=V-K
#-out=SpT
#-out=r_SpT
#-out=logLx
#-out=r_logLx
#-out=Prot
#-out=r_Prot
#-out=M*
#-out=R*
#-out=L*
#-out=Teff
#-out=dcz
#-out=Lx/bol
#-out.all=2
#
#
#RESOURCE=yCat_17430048
#Name: J/ApJ/743/48
#Title: Stars with rotation periods and X-ray luminosities (Wright+, 2011)
#Table	J_ApJ_743_48_catalog:
#Name: J/ApJ/743/48/catalog
#Title: Activity-rotation properties for 824 stars -- updated version by the author
#Column	Name	(a23)	Default source name (1)	[ucd=meta.id;meta.main]
#Column	HD	(I6)	? Henry Draper catalog number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HIP	(I6)	? Hipparcos catalog number (Cat. I/239) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	GJ	(a7)	Catalog of nearby stars source name (Cat. V/70)	[ucd=meta.id]
#Column	GCVS	(A9)	? General Catalog of Variable Stars source name (Cat. B/gcvs)	[ucd=meta.id]
#Column	2MASS	(A16)	2MASS source name (HHMMSSss+DDMMSSs; J2000 - Cat. II/246)	[ucd=meta.id]
#Column	RAJ2000	(A11)	? Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Cluster	(A8)	? Name of open cluster that star is part of (or 'Field')	[ucd=meta.id]
#Column	Dist	(F5.1)	? Distance to star (2)	[ucd=pos.distance;pos.heliocentric]
#Column	Vmag	(F5.2)	? Observed V magnitude of star	[ucd=phot.mag;em.opt.V]
#Column	V-K	(F5.2)	Dereddened V-K colour of star (3)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	SpT	(a5)	? Spectral type of star	[ucd=src.spType]
#Column	r_SpT	(A3)	? Reference for spectral type, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	logLx	(F5.2)	Logarithm of the intrinsic X-ray luminosity of the star	[ucd=phys.luminosity;em.X-ray]
#Column	r_logLx	(A3)	Reference for X-ray luminosity in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	Prot	(F5.2)	Rotation period of the star	[ucd=time.period]
#Column	r_Prot	(A4)	Reference for rotation period, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	M*	(F5.2)	Mass of the star (4)	[ucd=phys.mass]
#Column	R*	(F5.2)	Radius of the star (4)	[ucd=phys.size.radius]
#Column	L*	(F5.2)	Bolometric luminosity of the star (4)	[ucd=phys.luminosity]
#Column	Teff	(I4)	Effective temperature of the star (4)	[ucd=phys.temperature.effective]
#Column	dcz	(F5.2)	Height of the radiative-convective boundary (as a function of the stellar radius) (4)	[ucd=pos.cartesian.z]
#Column	Lx/bol	(F5.2)	Logarithm of the X-ray to bolometric luminosity	[ucd=phys.luminosity;arith.ratio]
Name|HD|HIP|GJ|GCVS|2MASS|RAJ2000|DEJ2000|Cluster|Dist|Vmag|V-K|SpT|r_SpT|logLx|r_logLx|Prot|r_Prot|M*|R*|L*|Teff|dcz|Lx/bol
HD 11850               | 11850|      |       |         |01564728+2303041|01 56 47.26|+23 03 04.1|Field   | 33.0| 7.85| 1.64|G5   |C18|28.28|V99| 8.00|FEPS| 1.02| 0.93| 0.78|5439| 0.72|-5.15
HD 12039               | 12039|      |       |DK Cet   |01574896-2154052|01 57 48.98|-21 54 05.3|Field   | 42.0| 8.07| 1.59|G3/G5|C18|29.56|V99| 3.03|FEPS| 1.08| 1.00| 1.02|5625| 0.76|-3.97
                       |      |      |       |         |                |01 58 13.61|+48 44 19.7|Field   | 14.0|12.64| 4.41|     |   |28.17|V99| 2.79|H11 | 0.21| 0.22| 0.01|3335| 0.00|-3.26
GJ 83.1                |      |      |       |TZ Ari   |02001278+1303112|02 00 12.96|+13 03 07.0|Field   |  4.5|12.28| 5.63|     |   |27.33|P03| 0.52|P03 | 0.14| 0.15| 0.00|3102| 0.00|-3.68
HD 12786               | 12786|      |       |FN Cet   |02045932-1540412|02 04 59.33|-15 40 41.2|Field   | 26.0| 7.79| 1.95|K0   |C18|28.89|V99|15.78|S00 | 0.94| 0.85| 0.52|5153| 0.70|-4.34
GJ 84                  |      |      |       |         |02050492-1736528|02 05 04.85|-17 36 52.7|Field   |  9.1|10.19| 4.10|M3   |B85|27.67|V99|44.51|K07 | 0.40| 0.35| 0.02|3663| 0.09|-4.30
                       |      |      |       |         |                |02 09 04.86|+43 41 25.1|Field   | 87.0|13.44| 3.47|     |   |29.19|V99| 1.30|H11 | 0.58| 0.49| 0.07|3934| 0.61|-3.24
HD 13507               | 13507|      |       |V0450 And|02125499+4040061|02 12 55.01|+40 40 06.0|Field   | 26.0| 7.19| 1.42|G0   |C18|28.83|V99| 7.45|FEPS| 1.04| 0.95| 0.85|5492| 0.72|-4.65
HD 13531               | 13531|      |       |V0451 And|02131334+4030274|02 13 13.34|+40 30 27.3|Field   | 26.0| 7.35| 1.42|G0   |C18|29.05|V99| 7.49|FEPS| 1.00| 0.91| 0.70|5380| 0.72|-4.36
HD 13579               | 13579|      |90     |V0989 Cas|02154252+6740205|02 15 42.55|+67 40 20.2|Field   | 24.0| 7.13| 2.15|K2   |C18|28.18|V99| 6.79|S00 | 1.04| 0.96| 0.88|5517| 0.72|-5.27
                       |      |      |       |         |                |02 25 38.42|+37 32 34.0|Field   | 18.0|13.24| 4.39|     |   |28.30|V99|15.29|H11 | 0.22| 0.22| 0.01|3344| 0.00|-3.15
CK_Tri                 |      |      |       |CK Tri   |                |02 29 36.39|+34 23 43.3|Field   | 19.0|12.35| 4.03|     |   |28.83|V99| 2.73|H11 | 0.31| 0.28| 0.01|3534| 0.00|-2.91
GJ 103                 | 16157|      |       |CC Eri   |02342256-4347467|02 34 22.57|-43 47 46.9|Field   | 12.0| 8.70| 3.55|K8   |G06|29.55|V99| 1.56|K07 | 0.65| 0.56| 0.10|4095| 0.61|-3.05
HD 16160               | 16160|      |       |         |02360498+0653140|02 36 04.89|+06 53 12.7|Field   |  7.2| 5.79| 2.41|K3   |B95|27.24|V99|48.00|D96 | 0.84| 0.75| 0.31|4785| 0.68|-5.76
HD 16673               |      |      |       |         |02401242-0927103|02 40 12.42|-09 27 10.4|Field   | 22.0| 5.79| 1.24|F7   |H99|28.80|P03| 7.40|P03 | 1.23| 1.21| 2.04|6081| 0.82|-5.10
                       |      |      |       |         |                |02 40 52.51|+44 52 36.5|Field   | 12.0|13.20| 4.74|     |   |27.68|V99| 9.36|H11 | 0.16| 0.18| 0.00|3197| 0.00|-3.50
LH98 17                |      |      |       |V0875 Per|02521758+3616481|02 52 17.59|+36 16 48.2|Field   | 26.0|11.18| 3.58|     |   |29.66|V99| 7.98|N07 | 0.53| 0.44| 0.05|3845| 0.54|-3.39
HD 17925               | 17925|      |       |EP Eri   |02523210-1246109|02 52 32.13|-12 46 11.0|Field   | 10.0| 6.05| 1.95|K0   |B95|29.08|V99| 6.76|D96 | 0.91| 0.81| 0.43|5037| 0.70|-4.12
HD 18256               | 18256| 13702|       |         |02562611+1801233|02 56 26.15|+18 01 23.2|Field   | 35.0| 5.58| 1.08|F5   |B95|28.69|V99| 3.00|B96 | 1.56| 1.70| 6.59|6910| 0.99|-5.66
HD 18940               | 18940|      |       |         |03032864+2303411|03 03 28.66|+23 03 41.3|Field   | 34.0| 7.09| 1.42|G0   |C18|28.81|V99| 8.92|FEPS| 1.16| 1.12| 1.55|5890| 0.82|-4.95
HD 19019               | 19019|      |       |         |03035081+0607598|03 03 50.81|+06 07 59.9|Field   | 32.0| 6.92| 1.29|F8   |C18|28.32|V99| 9.70|FEPS| 1.16| 1.12| 1.55|5891| 0.82|-5.41
                       |      |      |       |         |                |03 07 09.68|+32 35 20.5|Field   | 24.0|14.13| 4.51|     |   |28.30|V99| 2.35|H11 | 0.20| 0.21| 0.01|3289| 0.00|-3.06
GJ 1054A               |      |      |       |         |03075577-2813108|03 07 55.75|-28 13 11.0|Field   | 19.0|10.20| 3.55|M0   |G06|28.55|V99| 0.51|K07 | 0.58| 0.49| 0.07|3941| 0.61|-3.89
HD 19632               | 19632|      |       |         |03085242-2453157|03 08 52.45|-24 53 15.5|Field   | 30.0| 7.29| 1.59|G3/G5|C18|28.20|V99|12.42|FEPS| 1.09| 1.02| 1.07|5656| 0.76|-5.41
HD 19668               | 19668|      |       |IS Eri   |03094227-0934463|03 09 42.29|-09 34 46.6|Field   | 40.0| 8.48| 1.42|G0   |C18|28.88|V99| 5.41|S00 | 0.97| 0.88| 0.61|5264| 0.72|-4.70
HD 19668               | 19668|      |       |IS Eri   |03094227-0934463|03 09 42.29|-09 34 46.6|Field   | 40.0| 8.48| 1.42|G0   |C18|28.88|V99| 5.48|FEPS| 0.97| 0.88| 0.61|5264| 0.72|-4.49
                       |      |      |       |         |                |03 10 28.78|+28 59 49.9|Field   | 18.0|14.33| 4.81|     |   |27.73|V99| 2.87|H11 | 0.15| 0.17| 0.00|3167| 0.00|-3.40
                       |      |      |       |         |                |03 15 37.83|+37 24 14.3|Field   | 12.0|13.12| 4.71|     |   |28.31|V99| 1.29|H11 | 0.17| 0.18| 0.00|3208| 0.00|-2.90
                       |      |      |       |         |                |03 16 59.06|+36 50 41.8|Field   | 64.0|14.01| 3.78|     |   |28.94|V99| 0.86|H11 | 0.42| 0.36| 0.03|3691| 0.09|-3.09
                       |      |      |       |         |                |03 17 12.80|+45 52 58.0|Field   | 28.0|13.11| 4.03|     |   |28.51|V99| 5.13|H11 | 0.31| 0.29| 0.01|3537| 0.00|-3.23
AP 93                  |      |      |       |         |03190275+4810596|03 19 02.40|+48 10 57.0|aPersei |172.0|11.99| 2.36|     |   |30.12|P03| 0.62|P03 | 1.03| 0.92| 0.76|5440| 1.00|-3.35
HD 20630               |      |      |       |         |03192169+0322126|03 19 21.70|+03 22 12.7|Field   |  9.2| 4.84| 1.64|G5   |B95|28.90|P03| 9.40|P03 | 1.06| 0.98| 0.94|5560| 0.76|-4.66
AP 96                  |      |      |       |         |03203939+5015495|03 20 39.39|+50 15 49.5|aPersei |172.0|14.55| 4.06|     |   |29.58|P03| 0.35|P03 | 0.76| 0.67| 0.20|4505| 0.68|-3.30
AP 97                  |      |      |       |         |03204185+4824375|03 20 41.50|+48 24 36.0|aPersei |172.0|12.08| 1.93|     |   |29.46|P03| 4.78|P03 | 0.98| 0.87| 0.60|5278| 1.00|-3.91
AP 98                  |      |      |       |V0625 Per|03210651+4826127|03 21 06.51|+48 26 12.7|aPersei |172.0|12.80| 2.21|     |   |29.05|P03| 6.20|P03 | 0.86| 0.76| 0.34|4876| 0.70|-4.07
AP 100                 |      |      |       |         |03211605+4835072|03 21 15.70|+48 35 06.0|aPersei |172.0|12.80| 2.93|     |   |29.66|P03| 0.21|P03 | 0.93| 0.82| 0.47|5102| 0.70|-3.60
AP 102                 |      |      |       |         |03212020+4845270|03 21 19.90|+48 45 27.0|aPersei |172.0|11.96| 1.81|     |   |29.62|P03| 4.26|P03 | 0.99| 0.89| 0.64|5338| 1.00|-3.78
AP 101                 |      |      |       |V0626 Per|03212217+4957033|03 21 22.18|+49 57 03.3|aPersei |172.0|13.89| 2.98|     |   |29.31|P03| 3.20|P03 | 0.74| 0.65| 0.18|4427| 0.66|-3.52
HE 520                 |      |      |       |V0484 Per|03222191+4908277|03 22 21.94|+49 08 27.6|aPersei |172.0|11.69| 1.59|G3   |H56|30.23|P03| 0.60|P03 | 0.98| 0.87| 0.60|5282| 1.00|-3.14
                       |      |      |       |         |                |03 22 31.66|+28 58 29.2|Field   | 17.0|15.18| 5.24|     |   |28.08|V99| 1.93|H11 | 0.12| 0.14| 0.00|3022| 0.00|-2.81
AP 108                 |      |      |       |         |03233662+4858533|03 23 36.63|+48 58 53.4|aPersei |172.0|12.92| 2.35|     |   |29.74|P03| 3.89|P03 | 0.85| 0.75| 0.32|4832| 0.70|-3.35
AP 109                 |      |      |       |         |03240670+4924518|03 24 06.70|+49 24 51.9|aPersei |172.0|15.84| 4.16|     |   |29.43|P03| 0.25|P03 | 0.55| 0.48| 0.07|3913| 0.55|-2.97
HE 601                 |      |      |       |         |03241706+4939002|03 24 17.06|+49 39 00.3|aPersei |172.0|11.43| 1.54|     |   |29.71|P03| 3.63|P03 | 1.09| 0.99| 1.00|5647| 1.00|-3.88
AP 15                  |      |      |       |V0485 Per|03242510+4848212|03 24 25.10|+48 48 21.3|aPersei |172.0|14.12| 3.10|     |   |29.52|P03| 0.65|P03 | 0.71| 0.63| 0.15|4341| 0.66|-3.25
AP 149                 |      |      |       |V0530 Per|03244838+4853199|03 24 48.19|+48 53 21.8|aPersei |172.0|11.71| 2.02|     |   |30.17|P03| 0.32|P03 | 1.05| 0.95| 0.86|5528| 1.00|-3.35
HE 622                 |      |      |       |V0531 Per|03244971+4852183|03 24 49.71|+48 52 18.4|aPersei |172.0|11.63| 1.77|     |   |30.38|P03| 0.81|P03 | 1.05| 0.95| 0.86|5525| 1.00|-3.14
AP 110                 |      |      |       |         |                |03 24 54.50|+49 25 52.0|aPersei |172.0|12.27| 1.75|     |   |29.42|P03| 5.13|P03 | 0.93| 0.82| 0.47|5109| 0.70|-3.84
                       |      |      |       |         |                |03 24 58.18|+26 51 01.8|Field   |108.0|12.75| 3.06|     |   |29.48|V99| 3.46|H11 | 0.72| 0.64| 0.16|4328| 0.65|-3.30
AP 25                  |      |      |       |         |03251623+4822239|03 25 16.23|+48 22 24.0|aPersei |172.0|12.25| 1.98|     |   |30.06|P03| 3.71|P03 | 0.95| 0.84| 0.52|5167| 0.70|-3.24
AP 112                 |      |      |       |         |03253191+4830110|03 25 31.80|+48 30 09.0|aPersei |172.0|13.68| 2.82|     |   |29.51|P03| 2.69|P03 | 0.76| 0.67| 0.19|4485| 0.68|-3.36
2MASS J03254797+3651473|      |      |       |         |03254797+3651473|03 25 47.97|+36 51 47.3|Field   |148.0|13.10| 2.87|     |   |30.12|V99| 0.43|X07 | 0.76| 0.67| 0.19|4452| 0.68|-2.75
AP 28                  |      |      |       |         |03255394+4831089|03 25 53.95|+48 31 09.0|aPersei |172.0|13.09| 2.39|     |   |29.74|P03| 3.47|P03 | 0.83| 0.73| 0.28|4739| 0.68|-3.29
AP 37                  |      |      |       |         |03261639+4850284|03 26 16.40|+48 50 28.4|aPersei |172.0|12.61| 2.13|     |   |29.90|P03| 2.40|P03 | 0.90| 0.79| 0.39|4997| 0.70|-3.28
HE 699                 |      |      |       |V0532 Per|03262222+4925375|03 26 22.22|+49 25 37.5|aPersei |172.0|11.27| 1.59|G3   |H56|30.30|P03| 0.33|P03 | 1.06| 0.96| 0.89|5550| 1.00|-3.24
AP 41                  |      |      |       |V0628 Per|03262532+4820068|03 26 25.33|+48 20 06.9|aPersei |172.0|12.03| 1.89|     |   |29.39|P03| 5.50|P03 | 0.99| 0.88| 0.62|5310| 1.00|-3.99
AP 43                  |      |      |       |         |03262764+4902123|03 26 28.01|+49 02 12.1|aPersei |172.0|12.84| 2.47|     |   |29.93|P03| 0.56|P03 | 0.88| 0.77| 0.36|4921| 0.70|-3.21
AP 158                 |      |      |       |         |03263370+5013545|03 26 33.60|+50 13 57.0|aPersei |172.0|11.93| 1.97|     |   |29.34|P03| 3.23|P03 | 1.01| 0.90| 0.69|5385| 1.00|-4.09
CK_Ari                 |      |      |       |CK Ari   |                |03 27 14.33|+27 23 08.8|Field   | 30.0|11.77| 4.00|     |   |29.05|V99| 9.70|H11 | 0.54| 0.46| 0.06|3869| 0.54|-3.29
AP 114                 |      |      |       |V0629 Per|03272036+4759250|03 27 20.37|+47 59 25.1|aPersei |172.0|13.40| 2.67|     |   |29.20|P03| 1.30|P03 | 0.79| 0.70| 0.22|4605| 0.68|-3.74
AP 56                  |      |      |       |         |                |03 27 23.59|+48 22 19.9|aPersei |172.0|13.00| 1.94|     |   |29.66|P03| 0.36|P03 | 0.81| 0.72| 0.26|4692| 0.68|-3.34
