#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-03-17T02:57:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6232a36311af00	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/other/NatAs/4.03&tab:{J/other/NatAs/4.03/res}&key:source=J/other/NatAs/4.03/res&HTTPPRM:&
#-source=J/other/NatAs/4.03/res
#-order=I
#-out=HD
#-out=m_HD
#-out=Name
#-out=VMAG
#-out=logR
#-out=SMW
#-out=s_SMW
#-out=logR'HK
#-out=s_logR'HK
#-out=Prot
#-out=e_Prot
#-out=tauc
#-out=e_tauc
#-out=Ro
#-out=e_Ro
#-out=Evol
#-out=Note
#
#
#RESOURCE=yCat_1061000401
#Name: J/other/NatAs/4.03
#Title: Rotation and activity across HR diagram (Lehtinen+, 2020)
#Table	J_other_NatAs_4_03_res:
#Name: J/other/NatAs/4.03/res
#Title: Results for stars
#Column	HD	(I6)	? HD number (blank for Sun) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	m_HD	(A1)	[AB] Multiplicity index on HD	[ucd=meta.code.multip]
#Column	Name	(a12)	Star name	[ucd=meta.id;meta.main]
#Column	VMAG	(F5.2)	V-band absolute magnitude (3)	[ucd=phot.mag]
#Column	logR	(F5.2)	? Logarithm of stellar radius	[ucd=phys.size.radius]
#Column	SMW	(F7.4)	Mt. Wilson system chromospheric activity index	[ucd=phot.flux;arith.ratio]
#Column	s_SMW	(F7.4)	Intrinsic variability amplitude of SMW (3 sigma level)	[ucd=src.var.amplitude]
#Column	logR'HK	(F7.3)	? Ca II K & H line chromospheric flux measure	[ucd=phot.flux;arith.ratio]
#Column	s_logR'HK	(F9.3)	? Intrinsic variability amplitude of logR'HK (3 sigma level)	[ucd=src.var.amplitude]
#Column	Prot	(F8.4)	? Rotation period (4)	[ucd=time.period]
#Column	e_Prot	(F7.4)	? Error of Prot	[ucd=stat.error]
#Column	tauc	(F6.2)	? Convective turnover time	[ucd=time.epoch]
#Column	e_tauc	(F6.2)	? Error of tauc	[ucd=stat.error]
#Column	Ro	(F8.5)	? Rossby number	[ucd=stat.param]
#Column	e_Ro	(F8.5)	? Error of Ro	[ucd=stat.error]
#Column	Evol	(A2)	[MS SG G] Evolutionary stage (5)	[ucd=meta.code.class]
#Column	Note	(a20)	Notes on Prot and tauc	[ucd=meta.note]
HD|m_HD|Name|VMAG|logR|SMW|s_SMW|logR'HK|s_logR'HK|Prot|e_Prot|tauc|e_tauc|Ro|e_Ro|Evol|Note
 22211| |HR 1089     | 0.68| 0.81| 0.6113| 0.0629| -4.146|    0.053|  4.1100| 0.1700|  2.80|  3.20| 1.47000| 0.60000|SG|unreliable tauc
 23249| |delta Eri   | 3.73| 0.34| 0.1357| 0.0094| -5.159|    0.043| 61.1000| 1.5000|      |      |        |        |  |
 24555| |32 Eri A    |-0.29| 1.10| 0.4155| 0.1639| -4.645|    0.173|138.8000| 7.1000|280.00|110.00| 0.49533| 0.02500| G|
 25998| |50 Per      | 3.88| 0.14| 0.2806| 0.0491| -4.451|    0.108|  2.4290| 0.0250|  8.25|  0.80| 0.29430| 0.00460|MS|
 26722| |47 Tau      |-0.73| 1.18| 0.4227| 0.1273| -4.463|    0.159|  9.2400| 0.8500|133.00| 76.00| 0.06950| 0.00640| G|
 26913| |V891 Tau    | 5.22|-0.06| 0.3788| 0.0742| -4.417|    0.114|  7.0280| 0.0770| 40.40|  2.40| 0.17400| 0.00190|MS|
 26923| |V774 Tau    | 4.60| 0.02| 0.2829| 0.0346| -4.492|    0.079| 10.6000| 0.2500| 20.80|  1.50| 0.51000| 0.01200|MS|
 26965| |omicron2 Eri| 5.92|-0.15| 0.1994| 0.0592| -4.919|    0.197| 38.6500| 0.5800| 55.30|  3.90| 0.69900| 0.01100|MS|
 27022| |HR 1327     | 0.15| 0.97| 0.4304| 0.0988| -4.469|    0.118|        |       | 80.00| 55.00|        |        |SG|
 27348| |54 Per      | 0.79| 0.88| 0.3581| 0.0864| -4.659|    0.114|140.3000| 6.6000|280.00| 75.00| 0.50000| 0.02400| G|
 27371| |gamma Tau   | 0.42| 1.01| 0.3250| 0.1041| -4.732|    0.151|141.5000| 3.4000|392.00| 44.00| 0.36050| 0.00870| G|
 27697| |delta Tau   | 0.17| 1.01| 0.2520| 0.0335| -4.855|    0.064|149.6000| 5.1000|232.00| 92.00| 0.64600| 0.02200| G|
 28305| |epsilon Tau | 0.07| 1.08| 0.2297| 0.0234| -4.924|    0.048|229.7000| 9.9000|387.00| 44.00| 0.59300| 0.02600| G|
 28307| |theta1 Tau  | 0.49| 0.95| 0.3714| 0.0925| -4.643|    0.113|145.2000| 5.7000|216.00| 88.00| 0.67300| 0.02600| G|
 29139| |alpha Tau   |-0.68| 1.20| 0.4532| 0.0958| -5.352|    0.090|        |       |      |      |        |        |  |
 29317| |3 Cam       |-0.33| 1.16| 0.2963| 0.2709| -4.870|    0.391|128.2000| 1.5000|428.00| 39.00| 0.29940| 0.00350| G|
 29645| |HR 1489     | 3.45| 0.25| 0.1371| 0.0129| -5.216|    0.141| 18.1300| 0.3100| 17.80|  4.80| 1.01800| 0.02300|SG|
 30495| |58 Eri      | 4.89|-0.02| 0.2941| 0.0450| -4.525|    0.097| 10.3600| 0.1800| 28.30|  1.10| 0.36620| 0.00640|MS|
 31398| |iota Aur    |-3.59| 1.80| 0.4645| 0.0826| -5.259|    0.075|        |       |      |      |        |        |  |
 32008| |63 Eri      | 1.77| 0.65| 0.6433| 0.1183| -4.249|    0.091| 60.0000| 1.6000|128.00| 73.00| 0.47000| 0.01300|SG|
 32147| |HR 1614     | 6.49|-0.21| 0.2787| 0.1036| -4.939|    0.171| 33.7000| 1.1000|      |      |        |        |  |
 33608| |HR 1687     | 3.03| 0.29| 0.2125| 0.0260| -4.582|    0.086|  3.2110| 0.0730|  0.49|  0.76| 7.00000|21.00000|MS|unreliable tauc
 35296| |111 Tau     | 4.18| 0.09| 0.3025| 0.0566| -4.426|    0.113|  3.4930| 0.0450| 12.10|  1.90| 0.28840| 0.00530|MS|
 37394| |V538 Aur    | 5.76|-0.14| 0.4505| 0.1042| -4.474|    0.118| 11.4900| 0.2200| 54.40|  3.60| 0.21130| 0.00410|MS|
 38751| |132 Tau     | 1.00| 0.88| 0.3197| 0.0565| -4.776|    0.081|        |       |376.00| 48.00|        |        | G|
 39587| |chi1 Ori    | 4.66| 0.00| 0.3105| 0.0428| -4.456|    0.086|  5.0220| 0.0560| 21.90|  1.30| 0.22980| 0.00260|MS|
 39801| |alpha Ori   |-5.47| 2.27| 0.5764| 0.2362| -5.182|    0.175|        |       |      |      |        |        |  |
 43587| |HR 2251     | 4.27| 0.10| 0.1543| 0.0122| -5.020|    0.086|        |       | 29.60|  4.40|        |        |SG|
 44478| |mu Gem      |-1.39| 1.33| 0.6229| 0.1041| -5.361|    0.073|        |       |520.00| 64.00|        |        | G|
 45067| |HR 2313     | 3.27| 0.28| 0.1416| 0.0143| -5.135|    0.137|  9.4500| 0.2000| 15.80|  4.10| 0.60000| 0.01600|SG|
 47442| |nu3 CMa     |-1.46| 1.40| 0.3202| 0.0601| -4.902|    0.082|        |       |      |      |        |        |  |
 48329| |epsilon Gem |-3.09| 1.64| 0.5479| 0.0833| -5.005|    0.066|343.8000| 9.6000|      |      |        |        |  |
 49161| |17 Mon      |-1.11| 1.35| 0.3675| 0.0996| -5.209|    0.114|        |       |450.00|110.00|        |        | G|
 54716| |63 Aur      |-0.49| 1.22| 0.3618| 0.0827| -5.303|    0.098|        |       |368.00| 78.00|        |        | G|
 57727| |57 Gem      | 1.29| 0.78| 0.3528| 0.0560| -4.629|    0.077| 87.3000| 2.3000|297.00| 70.00| 0.29410| 0.00780| G|
 59294| |6 CMi       |-1.73| 1.46| 0.2573| 0.0182| -5.183|    0.031|        |       |      |      |        |        |  |
 60522| |upsilon Gem |-0.48| 1.16| 0.4438| 0.0938| -5.364|    0.090|        |       |354.00| 79.00|        |        | G|
 61064| |25 Mon      | 1.17| 0.66| 0.4561| 0.0361| -4.123|    0.041|        |       |      |      |        |        |SG|
 61421| |alpha CMi A | 2.67| 0.34| 0.1666| 0.0166| -4.736|    0.080|  8.2400| 0.8200|      |      |        |        |MS|
 62509| |beta Gem    | 1.07| 0.84| 0.2435| 0.0164| -4.878|    0.032|440.0000|42.0000|343.00| 38.00| 1.28000| 0.12000| G|
 67228| |mu2 Cnc     | 3.44| 0.26| 0.3272| 0.0188| -4.495|    0.035|        |       | 22.60|  8.60|        |        |SG|
 68290| |19 Pup      | 1.06| 0.84| 0.3351| 0.0790| -4.682|    0.111|158.4000| 2.8000|349.00| 49.00| 0.45400| 0.00800| G|
 71369| |omicron UMa |-0.56| 1.21| 0.2585| 0.0121| -4.764|    0.026|        |       |378.00| 72.00|        |        | G|
 72779| |35 Cnc      | 0.12| 0.95| 0.5919| 0.0803| -4.196|    0.069|  3.5130| 0.0740| 19.00| 14.00| 0.18060| 0.00790|SG|
 72905| |pi1 UMa     | 4.82|-0.01| 0.3603| 0.0448| -4.389|    0.072|  4.5180| 0.0950| 29.90|  4.10| 0.15130| 0.00330|MS|
 73598| |HD 73598    | 0.31| 0.98| 0.2732| 0.0366| -4.795|    0.065|158.8000| 7.6000|220.00|110.00| 0.73100| 0.03500| G|
 73665| |39 Cnc      | 0.02| 1.03| 0.2252| 0.0229| -4.908|    0.050|        |       |150.00|120.00|        |        | G|
 73710| |HR 3428     | 0.07| 1.03| 0.2518| 0.0553| -4.886|    0.101|147.0000| 5.7000|220.00| 92.00| 0.66800| 0.02600| G|
 73974| |HD 73974    | 0.58| 0.92| 0.4441| 0.0935| -4.565|    0.098|102.4000| 4.4000|270.00| 94.00| 0.37900| 0.01600| G|
 74485| |46 Cnc      |-0.27| 1.09| 0.4377| 0.0933| -4.551|    0.099| 81.0000| 3.6000|160.00|120.00| 0.50000| 0.02200| G|
 75332| |HR 3499     | 4.02| 0.11| 0.2782| 0.0408| -4.483|    0.095|  3.6730| 0.0990| 10.20|  0.83| 0.36000| 0.01000|MS|
 76151| |HR 3538     | 4.87|-0.01| 0.2360| 0.0513| -4.698|    0.152| 14.4000| 0.1900| 34.00|  5.10| 0.42320| 0.00590|MS|
 76572| |61 Cnc      | 2.49| 0.40| 0.1482| 0.0151| -4.937|    0.108|  6.7700| 0.1600|  1.23|  0.76| 5.50000| 2.80000|SG|unreliable tauc
 78366| |HR 3625     | 4.56| 0.04| 0.2452| 0.0560| -4.602|    0.156|  9.5190| 0.0790| 24.70|  3.10| 0.38610| 0.00380|MS|
 81799| |G Hya       | 1.21| 0.86| 0.4249| 0.0591| -4.799|    0.061|        |       |339.00| 70.00|        |        | G|
 81809| |HR 3750     | 2.74| 0.40| 0.1717| 0.0295| -4.982|    0.172| 41.6600| 0.8000| 33.00| 11.00| 1.24900| 0.02700|SG|
 82210| |DK UMa      | 1.99| 0.62| 0.6552| 0.1757| -4.227|    0.127| 34.6900| 0.4200|219.00| 73.00| 0.15870| 0.00190| G|
 82328| |theta UMa   | 2.45| 0.41| 0.3373| 0.0337| -4.322|    0.057|        |       |  0.67|  0.69|        |        |SG|unreliable tauc
 82443| |DX Leo      | 5.76|-0.13| 0.6381| 0.1510| -4.238|    0.117|  5.3900| 0.1000| 51.30|  3.80| 0.10500| 0.00200|MS|
 82543| |HR 3794     | 0.38| 0.90| 0.3727| 0.0625| -4.394|    0.092|        |       |  5.00| 12.00|        |        |SG|
 82635| |SU LMi      | 0.83| 0.86| 0.4782| 0.1547| -4.491|    0.153| 76.6000| 1.9000|220.00|110.00| 0.34710| 0.00860|SG|
 82885| |SV LMi      | 5.15|-0.07| 0.2733| 0.0680| -4.687|    0.153| 17.8800| 0.1800| 36.20|  1.50| 0.49300| 0.00500|MS|
 83273| |9 Leo       | 2.29| 0.47| 0.4171| 0.0322| -4.287|    0.044|        |       |  5.90|  4.60|        |        |SG|
 85444| |upsilon1 Hya|-0.30| 1.10| 0.4280| 0.0806| -4.547|    0.088| 91.2000| 5.1000|170.00|120.00| 0.52300| 0.02900| G|
 88355| |34 Leo      | 2.38| 0.42| 0.1694| 0.0189| -4.798|    0.100| 10.5600| 0.5900|  0.72|  0.38|15.00000|11.00000|SG|unreliable tauc
 88373| |HD 88373    | 2.26| 0.50| 0.2329| 0.0255| -4.615|    0.079|  6.6000| 0.1800| 17.80|  8.30| 0.37100| 0.01400|SG|
 88737| |HR 4012     | 2.36| 0.45| 0.2358| 0.0273| -4.655|    0.085|  6.8500| 0.1300|  6.40|  3.50| 1.07000| 0.09300|SG|
 89449| |40 Leo      | 3.18| 0.26| 0.4141| 0.0452| -4.166|    0.058|        |       |  1.48|  0.30|        |        |MS|unreliable tauc
 89484| |gamma1 Leo  |-0.99| 1.28| 0.2497| 0.0134| -5.002|    0.024|        |       |370.00| 35.00|        |        | G|
 89485| |gamma2 Leo  | 1.23|     | 0.2522| 0.0166|       |         |        |       |      |      |        |        |  |
 89744| |HR 4067     | 2.79| 0.35| 0.1355| 0.0122| -5.145|    0.129|  8.9400| 0.1500|  4.60|  1.00| 1.95600| 0.10000|SG|unreliable tauc
 92523| |HR 4181     |-0.72| 1.26| 0.3236| 0.0408| -5.280|    0.054|        |       |380.00|110.00|        |        | G|
 95735| |HD 95735    |10.46|-1.01| 0.4425| 0.2203| -5.495|    0.197| 57.5000| 1.7000|      |      |        |        |  |
 97334| |MN UMa      | 4.63| 0.03| 0.3325| 0.0517| -4.420|    0.093|  7.3810| 0.0620| 27.20|  4.30| 0.27140| 0.00280|MS|
 99904| |HD 99904    | 1.86| 0.55| 0.3990| 0.0548| -4.270|    0.076|        |       |  0.80|  1.80|        |        |SG|unreliable tauc
100180| |88 Leo      | 4.40| 0.05| 0.1635| 0.0201| -4.918|    0.122| 13.5100| 0.2400| 20.40|  1.90| 0.66300| 0.01200|MS|
100563| |89 Leo      | 3.60| 0.17| 0.1987| 0.0178| -4.650|    0.068|  9.9900| 0.2200|  0.89|  0.71|11.00000|10.00000|MS|unreliable tauc
101501| |61 UMa      | 5.40|-0.10| 0.3025| 0.0726| -4.587|    0.139| 15.9500| 0.2000| 42.00|  1.20| 0.37950| 0.00480|MS|
102070| |zeta Crt    |-0.29| 1.11| 0.2859| 0.0546| -4.774|    0.092|181.6000| 6.1000|250.00|110.00| 0.72000| 0.02400| G|
103095| |HR 4550     | 6.61|-0.29| 0.1857| 0.0353| -4.939|    0.147| 34.0300| 0.6800|      |      |        |        |  |
106516| |HR 4657     | 4.36| 0.03| 0.2076| 0.0243| -4.606|    0.085|  7.1500| 0.1100|  5.87|  0.99| 1.22000| 0.04000|MS|
107213| |9 Com       | 2.99| 0.31| 0.1334| 0.0125| -5.154|    0.137| 10.2500| 0.1900|  3.68|  0.38| 2.78500| 0.09400|MS|unreliable tauc
111456| |HR 4867     | 3.74| 0.16| 0.2960| 0.0224| -4.370|    0.046|        |       |  5.74|  0.67|        |        |MS|
111812| |31 Com      | 0.23| 0.90| 0.7268| 0.0809| -4.092|    0.055|  5.6000| 0.4100|  3.80|  4.30| 1.48000| 0.46000|SG|unreliable tauc
113226| |epsilon Vir | 0.28| 1.04| 0.2610| 0.0226| -4.803|    0.044|120.3000| 8.0000|373.00| 47.00| 0.32200| 0.02100| G|
114378| |alpha Com A | 3.60| 0.19| 0.2410| 0.0211| -4.522|    0.059|  2.9280| 0.0590|  4.40|  1.10| 0.66000| 0.04000|MS|unreliable tauc
114710| |beta Com    | 4.42| 0.04| 0.2009| 0.0296| -4.738|    0.117| 11.9900| 0.1000| 16.50|  1.60| 0.72660| 0.00740|MS|
115043| |HD 115043   | 4.81|-0.01| 0.3210| 0.0526| -4.444|    0.100|  5.5100| 0.1000| 28.40|  1.30| 0.19390| 0.00350|MS|
115383| |e Vir       | 3.97| 0.13| 0.3026| 0.0482| -4.464|    0.100|  3.5510| 0.0460| 13.10|  2.30| 0.27020| 0.00510|MS|
115404| |HD 115404   | 6.28|-0.21| 0.5151| 0.1323| -4.502|    0.122| 18.0300| 0.2600| 66.00|  8.60| 0.27300| 0.00400|MS|
115617| |61 Vir      | 5.09|-0.08| 0.1620| 0.0142| -5.036|    0.083| 22.6500| 0.8100|      |      |        |        |  |
115659| |gamma Hya   |-0.12| 1.12| 0.2783| 0.0350| -4.761|    0.064|142.4000| 7.1000|382.00| 30.00| 0.37300| 0.01900| G|
120136| |tau Boo     | 3.52| 0.19| 0.1882| 0.0185| -4.723|    0.079|  3.0700| 0.0620|  2.83|  0.93| 1.09000| 0.13000|MS|unreliable tauc
122563| |HR 5270     |-1.13| 1.34| 0.2731| 0.0245| -4.732|    0.049|        |       |      |      |        |        |  |
124570| |14 Boo      | 2.90| 0.34| 0.1329| 0.0120| -5.184|    0.135| 25.5800| 0.5900| 18.00| 12.00| 1.44200| 0.06200|SG|
124850| |iota Vir    | 2.36| 0.45| 0.2055| 0.0201| -4.693|    0.077|  6.9700| 0.1100|  6.30|  2.50| 1.10000| 0.07000|SG|
124897| |alpha Boo   |-0.22| 1.15| 0.2463| 0.0560| -5.150|    0.104|261.7000| 7.0000|280.00| 81.00| 0.93600| 0.02500| G|
126053| |HR 5384     | 5.05|-0.03| 0.1666| 0.0169| -4.966|    0.099| 25.7000| 1.7000| 34.91|  0.82| 0.73600| 0.04900|MS|
126868| |phi Vir     | 1.96| 0.56| 0.6229| 0.1275| -4.180|    0.099| 13.6000| 0.1500| 24.00| 14.00| 0.56800| 0.01500|SG|
129333| |EK Dra      | 4.91| 0.02| 0.5460| 0.1190| -4.167|    0.114|  2.5880| 0.0340| 41.80|  7.30| 0.06197| 0.00085|MS|
131156|A|ksi Boo A   | 5.53|-0.11| 0.4501| 0.0864| -4.368|    0.104|  6.0000| 0.0360|      |      |        |        |  |
131156|B|ksi Boo B   | 7.68|-0.39| 1.2961| 0.4900| -4.431|    0.160| 10.6400| 0.1700|      |      |        |        |  |
136202| |MQ Ser      | 3.02| 0.31| 0.1416| 0.0154| -5.100|    0.143| 19.6500| 0.5000|  6.50|  1.70| 3.05000| 0.15000|SG|
139641| |phi Boo     | 1.60| 0.72| 0.2796| 0.0311| -4.737|    0.058|        |       |302.00| 57.00|        |        | G|
141004| |lambda Ser  | 4.06| 0.12| 0.1556| 0.0183| -5.005|    0.118| 24.1800| 0.4100| 19.90|  3.40| 1.21800| 0.02300|SG|
141714| |delta CrB   | 1.06| 0.80| 0.5378| 0.1126| -4.336|    0.106| 52.2000| 2.7000|153.00| 73.00| 0.34000| 0.01800|SG|
142373| |chi Her     | 3.61| 0.21| 0.1457| 0.0102| -5.034|    0.082|        |       | 19.40|  4.20|        |        |SG|
143761| |rho CrB     | 4.17| 0.12| 0.1494| 0.0112| -5.058|    0.086| 16.2800| 0.3500| 35.00|  5.70| 0.46000| 0.01000|SG|
145001| |kappa Her A |-0.40| 1.13| 0.4637| 0.1397| -4.520|    0.134| 68.1000| 2.5000|290.00|110.00| 0.23700| 0.00870| G|
146233| |18 Sco      | 4.74| 0.00| 0.1713| 0.0273| -4.950|    0.149| 22.6200| 0.5700| 29.00|  4.20| 0.78000| 0.02000|MS|
148387| |eta Dra     | 0.51| 0.96| 0.2520| 0.0293| -4.806|    0.061|        |       |346.00| 56.00|        |        | G|
149661| |12 Oph      | 5.79|-0.14| 0.3297| 0.0908| -4.625|    0.147| 20.7600| 0.2800| 55.00|  3.00| 0.37950| 0.00510|MS|
150997| |eta Her     | 0.85| 0.92| 0.2974| 0.0702| -4.724|    0.116|160.0000|11.0000|355.00| 47.00| 0.45100| 0.03100| G|
152391| |V2292 Oph   | 5.52|-0.11| 0.3858| 0.0921| -4.469|    0.133| 10.6200| 0.1300| 47.40|  2.60| 0.22400| 0.00280|MS|
154417| |V2213 Oph   | 4.42| 0.05| 0.2675| 0.0433| -4.536|    0.110|  7.8120| 0.0620| 20.80|  2.70| 0.37570| 0.00380|MS|
