#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-03-17T09:13:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6232fbb135af7d	
#INFO	-out.max=1000	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/other/NatAs/4.03&tab:{J/other/NatAs/4.03/lit}&key:source=J/other/NatAs/4.03/lit&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/other/NatAs/4.03/lit
#-order=I
#-out=HD
#-out=m_HD
#-out=Name
#-out=Vmag
#-out=B-V
#-out=r_Vmag
#-out=d
#-out=r_d
#-out=Teff
#-out=r_Teff
#-out=logL
#-out=r_logL
#-out=logg
#-out=r_logg
#-out=[Fe/H]
#-out=r_[Fe/H]
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#
#RESOURCE=yCat_1061000401
#Name: J/other/NatAs/4.03
#Title: Rotation and activity across HR diagram (Lehtinen+, 2020)
#Table	J_other_NatAs_4_03_lit:
#Name: J/other/NatAs/4.03/lit
#Title: Literature values for stars
#Column	HD	(I6)	? HD number (blank for Sun) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	m_HD	(A1)	[AB] Multiplicity index on HD	[ucd=meta.code.multip]
#Column	Name	(a12)	Star name	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	? V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	r_Vmag	(A19)	Bibcode for V and B-V reference	[ucd=meta.ref;pos.frame]
#Column	d	(F6.2)	Distance	[ucd=pos.distance;pos.heliocentric]
#Column	r_d	(A19)	Bibcode for d reference	[ucd=meta.ref;pos.frame]
#Column	Teff	(I4)	? Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	r_Teff	(A19)	Bibcode for Teff reference (1)	[ucd=meta.ref;pos.frame]
#Column	logL	(F5.2)	? Logarithm of luminosity relative to the Sun	[ucd=phys.luminosity]
#Column	r_logL	(A19)	Bibcode for logL reference (2)	[ucd=meta.ref]
#Column	logg	(F6.3)	? Logarithm of surface gravity	[ucd=phys.gravity]
#Column	r_logg	(A19)	Bibcode for logg	[ucd=meta.ref;pos.frame]
#Column	[Fe/H]	(F5.2)	? Metallicity relative to the Sun	[ucd=phys.abund.Z]
#Column	r_[Fe/H]	(A19)	Bibcode for [Fe/H] reference	[ucd=meta.ref]
#Column	SimbadName	(A10)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
HD|m_HD|Name|Vmag|B-V|r_Vmag|d|r_d|Teff|r_Teff|logL|r_logL|logg|r_logg|[Fe/H]|r_[Fe/H]|SimbadName|_RA|_DE
  6920| |44 And      | 5.670| 0.603|1997ESASP1200.....E| 53.20|2018A&A...616A...9L|5960|2018A&A...616A...8A| 1.12|2018A&A...616A...8A| 3.780|2005PASJ...57...27T|-0.01|2016ApJ...826..171G|HD   6920 |017.57808|+42.08147
  8491| |psi Cas     | 4.720| 1.047|1997ESASP1200.....E| 59.40|2018A&A...616A...9L|4780|2018A&A...616A...8A| 1.74|2018A&A...616A...8A| 2.740|1990ApJS...74.1075M| 0.08|2016ApJ...826..171G|HD   8491 |021.48343|+68.13001
  9562| |HR 448      | 5.750| 0.639|1997ESASP1200.....E| 29.70|2018A&A...616A...9L|5900|2018A&A...616A...8A| 0.58|2018A&A...616A...8A| 4.040|2007ApJS..168..297T| 0.24|2016ApJ...826..171G|HD   9562 |023.42848|-07.02534
 10072| |chi And     | 5.010| 0.883|1997ESASP1200.....E| 78.90|2018A&A...616A...9L|5070|2018A&A...616A...8A| 1.81|2018A&A...616A...8A| 2.870|1990ApJS...74.1075M|-0.21|2008AJ....135..209M|HD  10072 |024.83745|+44.38617
 10476| |107 Psc     | 5.240| 0.836|1997ESASP1200.....E|  7.61|2018A&A...616A...9L|5490|2018A&A...616A...8A|-0.34|2018A&A...616A...8A| 4.540|2007ApJS..168..297T|-0.01|2016ApJ...826..171G|HD  10476 |025.62401|+20.26852
 10700| |tau Cet     | 3.490| 0.727|1997ESASP1200.....E|  3.60|2018A&A...616A...9L|5380|2018A&A...616A...8A|-0.25|2018A&A...616A...8A| 4.520|2007ApJS..168..297T|-0.51|2016ApJ...826..171G|HD  10700 |026.01701|-15.93748
 10780| |V987 Cas    | 5.630| 0.804|1997ESASP1200.....E| 10.00|2018A&A...616A...9L|5350|2018A&A...616A...8A|-0.26|2018A&A...616A...8A| 4.520|2007ApJS..168..297T| 0.05|2016ApJ...826..171G|HD  10780 |026.93681|+63.85250
 12235| |112 Psc     | 5.890| 0.610|1997ESASP1200.....E| 31.80|2018A&A...616A...9L|6020|2018A&A...616A...8A| 0.58|2018A&A...616A...8A| 4.150|2007ApJS..168..297T| 0.31|2016ApJ...826..171G|HD  12235 |030.03816|+03.09701
 13421| |64 Cet      | 5.640| 0.569|1997ESASP1200.....E| 41.00|2018A&A...616A...9L|6140|2018A&A...616A...8A| 0.90|2018A&A...616A...8A| 3.840|2013ApJ...764...78R| 0.21|2016ApJ...826..171G|HD  13421 |032.83783|+08.56981
 16160| |HR 753      | 5.790| 0.918|1997ESASP1200.....E|  7.24|2018A&A...616A...9L|4760|2018A&A...616A...8A|-0.53|2018A&A...616A...8A| 4.620|2007ApJS..168..297T|-0.10|2016ApJ...826..171G|HD  16160 |039.02043|+06.88679
 16673| |HR 784      | 5.790| 0.524|1997ESASP1200.....E| 21.90|2018A&A...616A...9L|6240|2018A&A...616A...8A| 0.29|2018A&A...616A...8A| 4.280|2003AJ....126.2048G|-0.03|2016ApJ...826..171G|HD  16673 |040.05176|-09.45287
 17361| |39 Ari      | 4.520| 1.112|1997ESASP1200.....E| 51.90|2018A&A...616A...9L|4680|2018A&A...616A...8A| 1.73|2018A&A...616A...8A| 2.850|1990ApJS...74.1075M| 0.09|2016ApJ...826..171G|HD  17361 |041.97726|+29.24711
 17925| |EP Eri      | 6.050| 0.862|1997ESASP1200.....E| 10.40|2018A&A...616A...9L|5180|2018A&A...616A...8A|-0.39|2018A&A...616A...8A| 4.600|2007ApJS..168..297T| 0.15|2016ApJ...826..171G|HD  17925 |043.13387|-12.76971
 18256| |rho Ari     | 5.580| 0.471|1997ESASP1200.....E| 36.70|2018A&A...616A...9L|6360|2018A&A...616A...8A| 0.82|2018A&A...616A...8A| 4.170|1990ApJ...354..310B|-0.04|2016ApJ...826..171G|HD  18256 |044.10905|+18.02324
 19787| |delta Ari   | 4.350| 1.033|1997ESASP1200.....E| 49.20|2018A&A...616A...9L|4850|2018A&A...616A...8A| 1.72|2018A&A...616A...8A| 2.930|1990ApJS...74.1075M| 0.13|2016ApJ...826..171G|HD  19787 |047.90735|+19.72668
 20468| |HR 991      | 4.850| 1.491|1997ESASP1200.....E|410.00|2018A&A...616A...9L|4120|2018A&A...616A...8A| 3.59|2018A&A...616A...8A| 2.500|1990ApJS...74.1075M| 0.07|2016ApJ...826..171G|HD  20468 |049.68261|+34.22265
 20630| |kappa1 Cet  | 4.840| 0.681|1997ESASP1200.....E|  9.15|2018A&A...616A...9L|5750|2018A&A...616A...8A|-0.04|2018A&A...616A...8A| 4.520|2007ApJS..168..297T| 0.09|2016ApJ...826..171G|HD  20630 |049.84040|+03.37020
 21552| |sigma Per   | 4.360| 1.367|1997ESASP1200.....E|100.00|2018A&A...616A...9L|4220|2018A&A...616A...8A| 2.54|2018A&A...616A...8A| 1.910|1990ApJS...74.1075M|-0.24|1990ApJS...74.1075M|HD  21552 |052.64370|+47.99522
 22049| |epsilon Eri | 3.720| 0.881|1997ESASP1200.....E|  3.20|2018A&A...616A...9L|4980|2018A&A...616A...8A|-0.42|2018A&A...616A...8A| 4.610|2007ApJS..168..297T|-0.05|2016ApJ...826..171G|HD  22049 |053.23269|-09.45826
 22072| |HR 1085     | 6.140| 0.891|1997ESASP1200.....E| 41.90|2018A&A...616A...9L|5040|2018A&A...616A...8A| 0.80|2018A&A...616A...8A| 3.570|2007ApJS..168..297T|-0.25|2016ApJ...826..171G|HD  22072 |053.53491|+17.83283
 22211| |HR 1089     | 6.490| 0.642|1997ESASP1200.....E|145.00|2018A&A...616A...9L|5900|2018A&A...616A...8A| 1.67|2018A&A...616A...8A|      |                   | 0.24|2016ApJ...826..171G|HD  22211 |053.70451|+06.41769
 23249| |delta Eri   | 3.520| 0.915|1997ESASP1200.....E|  9.07|2018A&A...616A...9L|4770|2018A&A...616A...8A| 0.60|2018A&A...616A...8A| 4.010|2007ApJS..168..297T| 0.15|2016ApJ...826..171G|HD  23249 |055.81209|-09.76339
 24555| |32 Eri A    | 4.800| 1.010|2002A&A...384..180F|104.00|2018A&A...616A...9L|4970|2018A&A...616A...8A| 2.14|2018A&A...616A...8A| 2.630|1990ApJS...74.1075M|-0.16|1990ApJS...74.1075M|HD  24555 |058.57293|-02.95473
 25998| |50 Per      | 5.520| 0.520|1997ESASP1200.....E| 21.30|2018A&A...616A...9L|6250|2018A&A...616A...8A| 0.37|2018A&A...616A...8A| 4.130|2003AJ....126.2048G| 0.10|2016ApJ...826..171G|HD  25998 |062.15257|+38.03974
 26722| |47 Tau      | 4.840| 0.799|1997ESASP1200.....E|130.00|2018A&A...616A...9L|5210|2018A&A...616A...8A| 2.25|2018A&A...616A...8A| 3.140|1990ApJS...74.1075M|-0.17|1990ApJS...74.1075M|HD  26722 |063.48494|+09.26383
 26913| |V891 Tau    | 6.940| 0.680|1997ESASP1200.....E| 22.10|2018A&A...616A...9L|5650|2018A&A...616A...8A|-0.14|2018A&A...616A...8A| 4.560|2003AJ....126.2048G| 0.00|2016ApJ...826..171G|HD  26913 |063.85745|+06.19965
 26923| |V774 Tau    | 6.320| 0.570|1997ESASP1200.....E| 22.10|2018A&A...616A...9L|6050|2018A&A...616A...8A| 0.09|2018A&A...616A...8A| 4.600|2003AJ....126.2048G| 0.01|2016ApJ...826..171G|HD  26923 |063.87000|+06.18686
 26965| |omicron2 Eri| 4.430| 0.820|1997ESASP1200.....E|  5.04|2018A&A...616A...9L|5200|2018A&A...616A...8A|-0.34|2018A&A...616A...8A| 4.550|2007ApJS..168..297T|-0.27|2016ApJ...826..171G|HD  26965 |063.81800|-07.65287
 27022| |HR 1327     | 5.260| 0.820|1997ESASP1200.....E|105.00|2018A&A...616A...9L|5350|2018A&A...616A...8A| 1.93|2018A&A...616A...8A| 2.600|2009A&A...508.1313F|-0.02|2016ApJ...826..171G|HD  27022 |065.16802|+65.14044
 27348| |54 Per      | 4.930| 0.950|1997ESASP1200.....E| 67.30|2018A&A...616A...9L|5010|2018A&A...616A...8A| 1.72|2018A&A...616A...8A| 2.550|2009A&A...508.1313F| 0.07|2016ApJ...826..171G|HD  27348 |065.10266|+34.56672
 27371| |gamma Tau   | 3.650| 0.981|1997ESASP1200.....E| 44.20|2018A&A...616A...9L|4710|2018A&A...616A...8A| 1.92|2018A&A...616A...8A| 2.900|2008AJ....135..892C| 0.18|2016ApJ...826..171G|HD  27371 |064.94835|+15.62764
 27697| |delta Tau   | 3.770| 0.983|1997ESASP1200.....E| 52.50|2018A&A...616A...9L|4950|2018A&A...616A...8A| 1.99|2018A&A...616A...8A| 2.850|2008AJ....135..892C| 0.18|2016ApJ...826..171G|HD  27697 |065.73375|+17.54252
 28305| |epsilon Tau | 3.530| 1.014|1997ESASP1200.....E| 49.20|2018A&A...616A...9L|4670|2018A&A...616A...8A| 2.08|2018A&A...616A...8A| 2.970|2015A&A...574A..50J| 0.23|2016ApJ...826..171G|HD  28305 |067.15416|+19.18043
 28307| |theta1 Tau  | 3.840| 0.952|1997ESASP1200.....E| 46.70|2018A&A...616A...9L|4990|2018A&A...616A...8A| 1.86|2018A&A...616A...8A| 3.170|2008AJ....135..892C| 0.21|2016ApJ...826..171G|HD  28307 |067.14373|+15.96218
 29139| |alpha Tau   | 0.870| 1.538|1997ESASP1200.....E| 20.40|2007A&A...474..653V|4020|                   | 1.78|                   | 1.590|1990ApJS...74.1075M|-0.01|2016ApJ...826..171G|HD  29139 |068.98016|+16.50930
 29317| |3 Cam       | 5.070| 1.079|1997ESASP1200.....E|120.00|2018A&A...616A...9L|4630|2018A&A...616A...8A| 2.26|2018A&A...616A...8A| 2.490|1990ApJS...74.1075M|-0.12|1990ApJS...74.1075M|HD  29317 |069.97783|+53.07953
 29645| |HR 1489     | 5.970| 0.593|1997ESASP1200.....E| 31.90|2018A&A...616A...9L|6010|2018A&A...616A...8A| 0.55|2018A&A...616A...8A| 3.960|2003AJ....126.2048G| 0.14|2016ApJ...826..171G|HD  29645 |070.45940|+38.28018
 30495| |58 Eri      | 5.490| 0.632|1997ESASP1200.....E| 13.20|2018A&A...616A...9L|5870|2018A&A...616A...8A| 0.00|2018A&A...616A...8A| 4.430|2007ApJS..168..297T| 0.03|2016ApJ...826..171G|HD  30495 |071.90122|-16.93446
 31398| |iota Aur    | 2.690| 1.490|1997ESASP1200.....E|180.00|2018A&A...616A...9L|4150|2012MNRAS.427..343M| 3.61|2012MNRAS.427..343M| 1.740|1990ApJS...74.1075M|-0.11|1990ApJS...74.1075M|HD  31398 |074.24842|+33.16610
 32008| |63 Eri      | 5.390| 0.797|1997ESASP1200.....E| 52.90|2018A&A...616A...9L|5350|2018A&A...616A...8A| 1.28|2018A&A...616A...8A| 3.300|2008AJ....135..209M| 0.00|2018A&A...616A...8A|HD  32008 |074.96025|-10.26328
 32147| |HR 1614     | 6.220| 1.049|1997ESASP1200.....E|  8.85|2018A&A...616A...9L|4700|2018A&A...616A...8A|-0.50|2018A&A...616A...8A| 4.610|2007ApJS..168..297T| 0.28|2016ApJ...826..171G|HD  32147 |075.20416|-05.75367
 33608| |HR 1687     | 5.890| 0.462|1997ESASP1200.....E| 37.40|2018A&A...616A...9L|6450|2018A&A...616A...8A| 0.70|2018A&A...616A...8A| 4.100|2007ApJS..168..297T| 0.20|2016ApJ...826..171G|HD  33608 |077.82990|-02.49078
 35296| |111 Tau     | 5.000| 0.544|1997ESASP1200.....E| 14.60|2018A&A...616A...9L|6170|2018A&A...616A...8A| 0.27|2018A&A...616A...8A| 4.510|2003AJ....126.2048G|-0.02|2016ApJ...826..171G|HD  35296 |081.10610|+17.38354
 37394| |V538 Aur    | 6.210| 0.840|1997ESASP1200.....E| 12.30|2018A&A...616A...9L|5300|2018A&A...616A...8A|-0.32|2018A&A...616A...8A| 4.600|2007ApJS..168..297T| 0.16|2016ApJ...826..171G|HD  37394 |085.33473|+53.48106
 38751| |132 Tau     | 4.880| 1.021|1997ESASP1200.....E| 59.70|2018A&A...616A...9L|4730|2018A&A...616A...8A| 1.69|2018A&A...616A...8A| 2.590|1990ApJS...74.1075M|-0.01|1990ApJS...74.1075M|HD  38751 |087.25411|+24.56754
 39587| |chi1 Ori    | 4.390| 0.594|1997ESASP1200.....E|  8.84|2018A&A...616A...9L|6030|2018A&A...616A...8A| 0.09|2018A&A...616A...8A| 4.440|2007ApJS..168..297T|-0.02|2016ApJ...826..171G|HD  39587 |088.59576|+20.27617
 39801| |alpha Ori   | 0.450| 1.500|1997ESASP1200.....E|153.00|2007A&A...474..653V|3660|2012MNRAS.427..343M| 4.87|2012MNRAS.427..343M| 0.000|2000ApJ...537..205R| 0.12|2016ApJ...826..171G|HD  39801 |088.79294|+07.40706
 43587| |HR 2251     | 5.700| 0.610|1997ESASP1200.....E| 19.30|2018A&A...616A...9L|5910|2018A&A...616A...8A| 0.23|2018A&A...616A...8A| 4.270|2007ApJS..168..297T|-0.05|2016ApJ...826..171G|HD  43587 |094.31721|+05.09998
 44478| |mu Gem      | 2.870| 1.621|1997ESASP1200.....E| 71.00|2007A&A...474..653V|3640|2012MNRAS.427..343M| 3.24|2012MNRAS.427..343M| 1.000|2008AJ....135..209M| 0.00|2016ApJ...826..171G|HD  44478 |095.74011|+22.51358
 45067| |HR 2313     | 5.880| 0.564|1997ESASP1200.....E| 33.20|2018A&A...616A...9L|6060|2018A&A...616A...8A| 0.62|2018A&A...616A...8A| 4.010|2007ApJS..168..297T|-0.03|2016ApJ...826..171G|HD  45067 |096.31894|-00.94588
 47442| |nu3 CMa     | 4.420| 1.137|1997ESASP1200.....E|150.00|2018A&A...616A...9L|4510|2018A&A...616A...8A| 2.71|2018A&A...616A...8A| 2.340|1990ApJS...74.1075M|-0.24|1990ApJS...74.1075M|HD  47442 |099.47259|-18.23748
 48329| |epsilon Gem | 3.060| 1.377|1997ESASP1200.....E|170.00|2018A&A...616A...9L|4750|2018A&A...616A...8A| 3.77|2012MNRAS.427..343M| 0.750|2014AJ....147..137L| 0.18|2016ApJ...826..171G|HD  48329 |100.98303|+25.13113
 49161| |17 Mon      | 4.770| 1.396|1997ESASP1200.....E|150.00|2018A&A...616A...9L|4160|2018A&A...616A...8A| 2.69|2018A&A...616A...8A| 1.860|1990ApJS...74.1075M|-0.03|1990ApJS...74.1075M|HD  49161 |101.83262|+08.03726
 54716| |63 Aur      | 4.910| 1.451|1997ESASP1200.....E|120.00|2018A&A...616A...9L|4070|2018A&A...616A...8A| 2.53|2018A&A...616A...8A| 1.880|1990ApJS...74.1075M|-0.26|1990ApJS...74.1075M|HD  54716 |107.91386|+39.32055
 57727| |57 Gem      | 5.040| 0.902|1997ESASP1200.....E| 56.30|2018A&A...616A...9L|5060|2018A&A...616A...8A| 1.52|2018A&A...616A...8A| 3.100|2008AJ....135..209M|-0.09|2016ApJ...826..171G|HD  57727 |110.86880|+25.05053
 59294| |6 CMi       | 4.550| 1.276|1997ESASP1200.....E|180.00|2018A&A...616A...9L|4400|2018A&A...616A...8A| 2.90|2018A&A...616A...8A| 2.210|1990ApJS...74.1075M|-0.12|1990ApJS...74.1075M|HD  59294 |112.44909|+12.00657
 60522| |upsilon Gem | 4.060| 1.540|1997ESASP1200.....E| 81.00|2018A&A...616A...9L|4020|2018A&A...616A...8A| 2.59|2018A&A...616A...8A| 1.900|2007A&A...475.1003H|-0.36|2007A&A...475.1003H|HD  60522 |113.98063|+26.89575
 61064| |25 Mon      | 5.140| 0.442|1997ESASP1200.....E| 62.10|2018A&A...616A...9L|6450|2018A&A...616A...8A| 1.45|2018A&A...616A...8A| 3.210|2003A&A...409..251M| 0.25|2016ApJ...826..171G|HD  61064 |114.31955|-04.11098
 61421| |alpha CMi A | 0.400| 0.432|1997ESASP1200.....E|  3.51|2007A&A...474..653V|6560|                   | 0.91|                   | 4.060|2007ApJS..168..297T| 0.00|2016ApJ...826..171G|HD  61421 |114.82550|+05.22499
 62509| |beta Gem    | 1.160| 0.991|1997ESASP1200.....E| 10.40|2007A&A...474..653V|4910|                   | 1.40|                   | 2.750|2008AJ....135..892C| 0.10|2016ApJ...826..171G|HD  62509 |116.32896|+28.02620
 67228| |mu2 Cnc     | 5.300| 0.642|1997ESASP1200.....E| 23.60|2018A&A...616A...9L|5900|2018A&A...616A...8A| 0.58|2018A&A...616A...8A| 4.020|2007ApJS..168..297T| 0.19|2016ApJ...826..171G|HD  67228 |121.94107|+21.58181
 68290| |19 Pup      | 4.720| 0.939|1997ESASP1200.....E| 53.90|2018A&A...616A...9L|4960|2018A&A...616A...8A| 1.61|2018A&A...616A...8A| 3.230|1990ApJS...74.1075M|-0.03|2008AJ....135..209M|HD  68290 |122.81794|-12.92700
 71369| |omicron UMa | 3.350| 0.856|1997ESASP1200.....E| 60.50|2018A&A...616A...9L|4770|2018A&A...616A...8A| 2.29|2018A&A...616A...8A| 2.670|2003A&A...409..251M|-0.11|2016ApJ...826..171G|HD  71369 |127.56613|+60.71817
 72779| |35 Cnc      | 6.550| 0.681|1997ESASP1200.....E|193.00|2018A&A...616A...9L|5670|2018A&A...616A...8A| 1.89|2018A&A...616A...8A| 2.230|2014ApJ...791...58A|-0.07|2014ApJ...791...58A|HD  72779 |128.83103|+19.59006
 72905| |pi1 UMa     | 5.630| 0.618|1997ESASP1200.....E| 14.50|2018A&A...616A...9L|5840|2018A&A...616A...8A| 0.00|2018A&A...616A...8A| 4.514|2004A&A...420..183A|-0.02|2016ApJ...826..171G|HD  72905 |129.79877|+65.02091
 73598| |HD 73598    | 6.590| 0.956|1997ESASP1200.....E|180.00|2018A&A...616A...9L|5020|2018A&A...616A...8A| 1.88|2018A&A...616A...8A| 2.700|2011A&A...535A..30C| 0.11|2011A&A...535A..30C|HD  73598 |129.96132|+19.54081
 73665| |39 Cnc      | 6.390| 0.980|1997ESASP1200.....E|188.00|2018A&A...616A...9L|5050|2018A&A...616A...8A| 2.00|2018A&A...616A...8A| 2.600|2011A&A...535A..30C| 0.18|2011A&A...535A..30C|HD  73665 |130.02674|+20.00779
 73710| |HR 3428     | 6.420| 1.020|1997ESASP1200.....E|186.00|2018A&A...616A...9L|4950|2018A&A...616A...8A| 2.00|2018A&A...616A...8A| 2.610|2011A&A...535A..30C| 0.21|2016ApJ...826..171G|HD  73710 |130.09203|+19.66994
 73974| |HD 73974    | 6.900| 0.959|1997ESASP1200.....E|184.00|2018A&A...616A...9L|5040|2018A&A...616A...8A| 1.78|2018A&A...616A...8A|      |                   | 0.00|2018A&A...616A...8A|HD  73974 |130.45867|+19.87417
